Store,Date,Forecast
8,2012-11-23,1224831.147100187
9,2012-11-23,859887.6115703364
10,2012-11-23,2824515.7073379196
11,2012-11-23,1928143.3248283989
12,2012-11-23,1527901.4458009466
13,2012-11-23,2785818.8136697942
14,2012-11-23,2592896.025586379
15,2012-11-23,1048303.4917293291
16,2012-11-23,760858.5279335282
17,2012-11-23,1289307.673338421
18,2012-11-23,1626044.7796230346
19,2012-11-23,1958798.4790352946
20,2012-11-23,2835255.0059723035
21,2012-11-23,1220660.8474804284
22,2012-11-23,1545355.1158672604
23,2012-11-23,2009454.7351309732
24,2012-11-23,1707083.883858395
25,2012-11-23,1105826.8043572446
26,2012-11-23,1288648.6813809325
27,2012-11-23,2258041.545717455
28,2012-11-23,1833074.9311500597
29,2012-11-23,951704.2868051715
30,2012-11-23,439456.03324916994
31,2012-11-23,1994960.428135183
32,2012-11-23,1705019.1006896852
33,2012-11-23,264480.9015026108
34,2012-11-23,1359503.869462399
35,2012-11-23,1683361.497151878
36,2012-11-23,292335.6133533956
37,2012-11-23,535661.4391182595
38,2012-11-23,433720.9428960949
39,2012-11-23,2295118.5767906695
40,2012-11-23,1258009.9473358167
41,2012-11-23,1972113.2200081244
42,2012-11-23,587987.7450354893
43,2012-11-23,661464.9713196148
44,2012-11-23,342583.7453171534
45,2012-11-23,1191349.308723772
1,2012-11-30,1636368.56209955
2,2012-11-30,2069269.4744068705
3,2012-11-30,484955.4310419555
4,2012-11-30,2204190.6872273954
5,2012-11-30,399703.85709024186
6,2012-11-30,1852088.045837784
7,2012-11-30,650488.7749808765
8,2012-11-30,994177.8025532438
9,2012-11-30,624615.4031916219
10,2012-11-30,2116229.2749894187
11,2012-11-30,1420662.0815139846
12,2012-11-30,1140062.0476449048
13,2012-11-30,2155861.58885202
14,2012-11-30,2118946.529986085
15,2012-11-30,723986.5321385809
16,2012-11-30,556287.3667885186
17,2012-11-30,1007152.5575991131
18,2012-11-30,1232258.5271196712
19,2012-11-30,1596043.2669156827
20,2012-11-30,2293558.6194679113
21,2012-11-30,817900.1563823889
22,2012-11-30,1218502.730119046
23,2012-11-30,1615738.391050868
24,2012-11-30,1448374.2433791272
25,2012-11-30,911145.9381387832
26,2012-11-30,1103171.508624976
27,2012-11-30,1871705.9931521674
28,2012-11-30,1380764.7224122796
29,2012-11-30,657665.6562596296
30,2012-11-30,431289.6919969408
31,2012-11-30,1497697.1718134908
32,2012-11-30,1257787.034808618
33,2012-11-30,253550.18574747248
34,2012-11-30,1003436.5796391555
35,2012-11-30,929477.2489102137
36,2012-11-30,288761.9609630396
37,2012-11-30,526277.9244997427
38,2012-11-30,432289.6494855179
39,2012-11-30,1719828.4681753481
40,2012-11-30,1127641.9375590638
41,2012-11-30,1401074.4318055913
42,2012-11-30,537077.6376492557
43,2012-11-30,630144.2842345871
44,2012-11-30,323288.54931146407
45,2012-11-30,909281.4725562477
1,2012-12-07,1920827.6651634446
2,2012-12-07,2285365.9407409453
3,2012-12-07,477382.81790366967
4,2012-12-07,2437132.048413763
5,2012-12-07,400845.37327069923
6,2012-12-07,1979675.198044687
7,2012-12-07,680204.8630306796
8,2012-12-07,1061306.3336818153
9,2012-12-07,641228.6453911361
10,2012-12-07,2346392.9298331793
11,2012-12-07,1696408.7270823386
12,2012-12-07,1215043.6601559492
13,2012-12-07,2419882.6683959463
14,2012-12-07,2313531.083660872
15,2012-12-07,784836.1094604013
16,2012-12-07,580923.8263566573
17,2012-12-07,1056009.9713985724
18,2012-12-07,1370409.4306664707
19,2012-12-07,1748244.4631479953
20,2012-12-07,2399440.8726255004
21,2012-12-07,920225.2115537223
22,2012-12-07,1354107.7002505336
23,2012-12-07,1887982.0427742226
24,2012-12-07,1562661.85156107
25,2012-12-07,965903.8451920161
26,2012-12-07,1249329.5714469794
27,2012-12-07,1968879.117269844
28,2012-12-07,1522882.6778413302
29,2012-12-07,644222.8492730159
30,2012-12-07,439117.48564936186
31,2012-12-07,1673174.577408378
32,2012-12-07,1438921.2793825301
33,2012-12-07,270562.8000505261
34,2012-12-07,1088134.9106415906
35,2012-12-07,1001800.3996363879
36,2012-12-07,293331.5719901601
37,2012-12-07,544182.9438035524
38,2012-12-07,441319.74678958394
39,2012-12-07,1883026.4159925147
40,2012-12-07,1226942.6351511574
41,2012-12-07,1627543.4793064895
42,2012-12-07,616059.5131221176
43,2012-12-07,649059.788127009
44,2012-12-07,339728.07177435467
45,2012-12-07,960566.5455131776
1,2012-12-14,1977397.4208833252
2,2012-12-14,2332005.2365528294
3,2012-12-14,502776.9621104682
4,2012-12-14,2636057.1968561453
5,2012-12-14,397094.60828316055
6,2012-12-14,2168705.6625072984
7,2012-12-14,743645.9874729883
8,2012-12-14,1095493.677732449
9,2012-12-14,709670.0949611593
10,2012-12-14,2287499.527480678
11,2012-12-14,1793090.3429479578
12,2012-12-14,1294651.1015073725
13,2012-12-14,2641156.6622784263
14,2012-12-14,2239258.968291137
15,2012-12-14,810867.0995918161
16,2012-12-14,664810.3264046446
17,2012-12-14,1137793.9551675182
18,2012-12-14,1540001.6771503624
19,2012-12-14,1864988.7313281663
20,2012-12-14,2462525.3569111153
21,2012-12-14,1006729.9182911103
22,2012-12-14,1437284.5342950863
23,2012-12-14,2188194.225809919
24,2012-12-14,1631956.19601343
25,2012-12-14,1037750.9090268731
26,2012-12-14,1260708.4929515757
27,2012-12-14,2210635.1693494064
28,2012-12-14,1478811.7831736875
29,2012-12-14,738322.4032947472
30,2012-12-14,439429.23791876243
31,2012-12-14,1698559.0501955722
32,2012-12-14,1555921.8567716386
33,2012-12-14,275108.6280896911
34,2012-12-14,1163823.2482665405
35,2012-12-14,1079249.7271385647
36,2012-12-14,293337.14669838356
37,2012-12-14,535519.4885842896
38,2012-12-14,436822.84397296765
39,2012-12-14,2124247.7561166286
40,2012-12-14,1229515.0408614217
41,2012-12-14,1755446.432854071
42,2012-12-14,617902.922529365
43,2012-12-14,668805.1392520026
44,2012-12-14,343713.47263458325
45,2012-12-14,1027914.9100281338
1,2012-12-21,2223377.597698942
2,2012-12-21,2742836.7585639977
3,2012-12-21,548054.7935727009
4,2012-12-21,3449342.456361674
5,2012-12-21,439037.37195689674
6,2012-12-21,2613106.230123751
7,2012-12-21,1003404.360037047
8,2012-12-21,1302682.9246316112
9,2012-12-21,883487.7345633409
10,2012-12-21,3343422.3752242834
11,2012-12-21,2188314.892477469
12,2012-12-21,1579350.694191633
13,2012-12-21,3473037.100473472
14,2012-12-21,3340067.2384932796
15,2012-12-21,1074656.6035725519
16,2012-12-21,917362.1922314939
17,2012-12-21,1277035.4645263816
18,2012-12-21,1827910.963593802
19,2012-12-21,2024261.725946666
20,2012-12-21,3334511.0291556777
21,2012-12-21,1270576.4609343952
22,2012-12-21,1821056.6144729008
23,2012-12-21,2352948.259215286
24,2012-12-21,1948796.0921150914
25,2012-12-21,1268460.1701653337
26,2012-12-21,1448459.54270981
27,2012-12-21,2410315.5831119297
28,2012-12-21,1653360.9981687833
29,2012-12-21,935198.8692687734
30,2012-12-21,467673.015735238
31,2012-12-21,1970662.690301618
32,2012-12-21,1941412.0201085666
33,2012-12-21,269115.2418753952
34,2012-12-21,1451480.6738802784
35,2012-12-21,1475447.5228233517
36,2012-12-21,293304.5248954253
37,2012-12-21,610872.7407460388
38,2012-12-21,438113.79276874586
39,2012-12-21,2445532.9680406693
40,2012-12-21,1510212.020969701
41,2012-12-21,2241190.9276868827
42,2012-12-21,601422.7998067011
43,2012-12-21,673649.6336020272
44,2012-12-21,357733.09927663073
45,2012-12-21,1415565.5990411777
